Item,NAEP ID,aj,bj,cj,dj1,dj2,dj3,dj4
17,M011731,1.49,0.21,0.18,†,†,†,†
4,M052601,0.64,0.04,0.19,†,†,†,†
8,M053301,1.27,1.76,0,†,†,†,†
1,M093901,1.21,0.18,0.13,†,†,†,†
2,M094001,0.76,-0.27,0.19,†,†,†,†
3,M094101,0.61,2.5,0.25,†,†,†,†
4,M094201,0.73,0.1,0,0.27,0.16,-0.43,†
5,M094301,1.03,0.83,0,0.63,-0.63,†,†
3,M058701,1.16,-0.92,0.17,†,†,†,†
4,M058901,0.87,0.22,0,†,†,†,†
6,M059101,0.98,0.22,0.32,†,†,†,†
4,M092401,0.84,-0.09,0,1.25,-1.25,†,†
8,M092801,1.35,1.37,0.18,†,†,†,†
8,M095301,0.49,1.09,0,-0.75,0.75,†,†
8,M073901,1.56,1.13,0,†,†,†,†
7,M076701,1.73,1.38,0,0,0,†,†
8,M076801,1.03,1.47,0,-0.37,0.37,†,†
Item,NAEP ID,aj,bj,cj,dj1,dj2,dj3,dj4
2,M055901,0.38,-1.83,0.15,†,†,†,†
13,M057001,1.38,1.53,0,†,†,†,†
5,M017801,1.22,-1.05,0.27,†,†,†,†
16,M018901,1.11,1.21,0.22,†,†,†,†
4,M070801,0.9,-0.36,0,†,†,†,†
5,M070901,0.98,0.85,0.12,†,†,†,†
2,M021501,1.09,-0.45,0,†,†,†,†
3,M021502,0.86,-1.36,0,†,†,†,†
6,M020201,0.66,-2.35,0,†,†,†,†
10,M020801,0.88,0.87,0,†,†,†,†
13,M021101,0.89,-0.4,0,†,†,†,†
0,M0716CL,0.48,0.19,0,-0.69,0.1,0.18,0.41
4,M071601,1.23,0.22,0.29,†,†,†,†
5,M071602,0.9,0.41,0,-0.06,0.06,†,†
10,M071801,0.33,0.93,0,1.61,-1.95,0.35,†
5,M012631,1.15,-0.74,0.24,†,†,†,†
9,M013031,0.89,0.62,0,†,†,†,†
10,M013131,0.68,0.49,0,†,†,†,†
16,M011631,0.8,-0.12,0.23,†,†,†,†
5,M052701,0.92,-0.49,0.15,†,†,†,†
6,M052801,0.43,3.49,0.2,†,†,†,†
9,M053401,0.29,0.87,0,-0.3,2.26,0.26,-2.22
8,M094601,1.53,2.11,0.04,†,†,†,†
12,M059701,0.22,3.21,0.19,†,†,†,†
13,M059702,0.72,1.44,0,†,†,†,†
2,M092201,1.23,0,0.13,†,†,†,†
6,M092601,0.89,0.58,0,-0.4,0.4,†,†
3,M094801,0.89,1.49,0.13,†,†,†,†
5,M0732CL,0.45,-1.16,0,0.86,-0.19,-0.67,†
3,M076301,0.74,0.77,0.16,†,†,†,†
4,M056101,1,0.61,0.26,†,†,†,†
5,M056201,1.22,0.81,0.31,†,†,†,†
6,M056301,1.2,-0.07,0.07,†,†,†,†
7,M056401,0.79,0.2,0.18,†,†,†,†
12,M056901,1.63,1.45,0,†,†,†,†
10,M018301,0.9,-1.26,0.15,†,†,†,†
14,M018701,1.13,-0.95,0.16,†,†,†,†
15,M018801,1.01,-0.79,0.17,†,†,†,†
20,M019301,1.56,-0.03,0.14,†,†,†,†
21,M019401,1.74,1.68,0.24,†,†,†,†
22,M019501,1.04,1.54,0.08,†,†,†,†
0,M0707CL,0.6,-0.28,0,0.8,-0.3,-0.5,†
6,M071001,0.71,1.05,0,-0.47,0.47,†,†
4,M021601,1.25,2.32,0,†,†,†,†
5,M021602,1.59,1.51,0,†,†,†,†
8,M020401,0.65,-0.81,0,†,†,†,†
14,M021201,0.62,-0.85,0,†,†,†,†
16,M021702,0.68,-0.23,0,†,†,†,†
9,M0717CL,0.61,1.8,0,-0.84,-0.36,1.2,†
1,M012231,0.69,-2.82,0.2,†,†,†,†
11,M013231,0.92,0.6,0.13,†,†,†,†
14,M011431,1.37,0.7,0.25,†,†,†,†
18,M011831,1.81,1.63,0.22,†,†,†,†
20,M012031,1.12,0.85,0,†,†,†,†
21,M012131,1.29,1.54,0.17,†,†,†,†
3,M052501,0.85,-0.01,0.2,†,†,†,†
7,M053201,1.13,0.75,0.25,†,†,†,†
9,M094701,0.43,0.9,0,1.69,-0.85,-0.12,-0.73
8,M059301,1.4,0.78,0.18,†,†,†,†
9,M059401,2.05,0.91,0.19,†,†,†,†
10,M059501,1.48,2.03,0.38,†,†,†,†
1,M092101,0.92,0.36,0.21,†,†,†,†
5,M092501,0.36,1.04,0.24,†,†,†,†
7,M092701,0.99,0.23,0.15,†,†,†,†
7,M095201,1.02,1.31,0.17,†,†,†,†
9,M095401,0.34,0.25,0,-1.74,1.74,†,†
10,M074101,0.43,1.75,0,-1.52,0.42,1.1,†
4,M076401,1.7,1.43,0.26,†,†,†,†
5,M076501,0.8,1.99,0.19,†,†,†,†
6,M076601,1.12,0.95,0,-0.53,0.53,†,†
10,M077001,0.48,1.07,0,†,†,†,†
